active,snr_db,user,model_db,mc_db,abs_err_db
1,0,1,6.4103,6.4099,0.0004
1,10,1,16.4103,16.4101,0.0001
1,20,1,26.4103,26.4113,0.001
2,0,1,3.2331,3.2329,0.0002
2,0,2,1.7442,1.7385,0.0057
2,10,1,11.9641,11.9647,0.0005
2,10,2,10.4753,10.4736,0.0017
2,20,1,16.4819,16.4791,0.0028
2,20,2,14.993,14.9961,0.0031
3,0,1,1.2816,1.2819,0.0003
3,0,2,-0.8988,-0.9014,0.0026
3,0,3,-0.5983,-0.5927,0.0055
3,10,1,8.9488,8.954,0.0052
3,10,2,4.4306,4.4376,0.007
3,10,3,4.4702,4.4639,0.0064
3,20,1,11.8258,11.8258,0.0001
3,20,2,5.629,5.6287,0.0003
3,20,3,5.5563,5.5527,0.0035
4,0,1,-0.5207,-0.5234,0.0027
4,0,2,-2.957,-2.9546,0.0024
4,0,3,-2.3869,-2.3857,0.0011
4,0,4,-7.0261,-7.0303,0.0042
4,10,1,5.1625,5.1594,0.003
4,10,2,0.881,0.8854,0.0044
4,10,3,1.6837,1.6796,0.0041
4,10,4,-3.8827,-3.8835,0.0008
4,20,1,6.5298,6.5315,0.0017
4,20,2,1.546,1.5541,0.0081
4,20,3,2.4167,2.4106,0.0061
4,20,4,-3.3949,-3.3947,0.0002
