scheme,epoch,psnr10
masking_fixed,1,18.9
masking_fixed,2,19.24
masking_fixed,3,20.05
masking_fixed,4,20.18
masking_fixed,5,20.82
masking_fixed,6,20.82
masking_fixed,7,21.16
masking_fixed,8,21.08
masking_fixed,9,21.31
masking_fixed,10,20.97
masking_fixed,11,21.31
masking_fixed,12,21.67
masking_fixed,13,21.75
masking_fixed,14,21.58
masking_fixed,15,21.53
masking_fixed,16,21.58
masking_fixed,17,21.8
masking_fixed,18,21.56
masking_fixed,19,21.98
masking_fixed,20,21.97
masking_var,1,17.25
masking_var,2,18.92
masking_var,3,19.41
masking_var,4,19.39
masking_var,5,19.52
masking_var,6,19.61
masking_var,7,20.06
masking_var,8,19.63
masking_var,9,19.68
masking_var,10,20.08
masking_var,11,20.25
masking_var,12,20.38
masking_var,13,20.32
masking_var,14,20.55
masking_var,15,20.61
masking_var,16,20.68
masking_var,17,20.47
masking_var,18,20.71
masking_var,19,20.52
masking_var,20,20.69
oma,1,17.81
oma,2,17.94
oma,3,18.09
oma,4,18.17
oma,5,18.27
oma,6,18.39
oma,7,18.45
oma,8,18.61
oma,9,18.63
oma,10,18.62
oma,11,18.64
oma,12,18.73
oma,13,18.8
oma,14,18.76
oma,15,18.87
oma,16,18.85
oma,17,18.85
oma,18,18.96
oma,19,18.96
oma,20,19.06
