model,designed,position,var,mean,mean_abs,power_share,var_norm,mean_abs_norm,psnr_full,psnr_leave_one_out,psnr_loo_fixed_power
psma_u4_psma,4,1,1.70702,-0.0814669,1.07015,0.512064,4.0501,1.65767,23.866,13.132,13.013
psma_u4_psma,4,2,0.472728,0.0160904,0.532341,0.141335,1.16283,0.836592,23.866,20.495,20.524
psma_u4_psma,4,3,0.397122,-0.103832,0.499028,0.121887,0.950424,0.779994,23.866,21.692,21.694
psma_u4_psma,4,4,0.247648,-0.0822092,0.388471,0.0760202,0.589906,0.605516,23.866,22.836,22.800
psma_u4_psma,4,5,0.159703,0.0279146,0.283785,0.0479543,0.373572,0.438253,23.866,23.538,23.503
psma_u4_psma,4,6,0.142829,0.000712572,0.298814,0.0426794,0.335991,0.462738,23.866,23.635,23.597
psma_u4_psma,4,7,0.106457,-0.0154605,0.249409,0.0318822,0.251491,0.387239,23.866,23.711,23.684
psma_u4_psma,4,8,0.0865884,0.0318819,0.238229,0.0261775,0.207162,0.37142,23.866,23.765,23.742
psma_u8_psma,8,1,1.6658,-0.0664673,1.04755,0.524861,4.17541,1.6638,23.222,13.964,13.609
psma_u8_psma,8,2,0.424942,0.0379885,0.498141,0.133991,1.0841,0.798689,23.222,20.494,20.447
psma_u8_psma,8,3,0.364832,-0.105236,0.467876,0.118128,0.901475,0.744233,23.222,21.870,21.822
psma_u8_psma,8,4,0.288202,-0.0572247,0.406371,0.091596,0.714599,0.646281,23.222,22.199,22.143
psma_u8_psma,8,5,0.157044,-0.119103,0.343692,0.0538086,0.399262,0.551878,23.222,22.878,22.853
psma_u8_psma,8,6,0.112134,-0.0428653,0.277224,0.0358154,0.282205,0.443021,23.222,23.066,23.035
psma_u8_psma,8,7,0.0496398,-0.00452351,0.162528,0.0156056,0.125429,0.260589,23.222,23.125,23.114
psma_u8_psma,8,8,0.0832932,0.00810337,0.225139,0.0261953,0.208294,0.358002,23.222,23.114,23.090
