scheme,designed,active,snr,eps,psnr,ser,n_images
psma,4,1,10,0.0,23.866,0.174,1000
psma,4,1,10,0.01,23.436,0.185,1000
psma,4,1,10,0.03,22.865,0.204,1000
psma,4,1,10,0.1,21.583,0.256,1000
psma,4,4,10,0.0,20.746,0.467,4000
psma,4,4,10,0.01,20.423,0.4762,4000
psma,4,4,10,0.03,19.947,0.4955,4000
psma,4,4,10,0.1,18.823,0.5325,4000
oma,4,4,10,0.0,21.541,0.376,4000
oma,4,4,10,0.01,21.057,0.3943,4000
oma,4,4,10,0.03,20.386,0.413,4000
oma,4,4,10,0.1,18.958,0.45,4000
oma_static,4,1,10,0.0,21.541,0.376,4000
oma_static,4,4,10,0.0,21.541,0.376,4000
oma_static,4,1,10,0.01,21.057,0.3943,4000
oma_static,4,4,10,0.01,21.057,0.3943,4000
oma_static,4,1,10,0.03,20.386,0.413,4000
oma_static,4,4,10,0.03,20.386,0.413,4000
oma_static,4,1,10,0.1,18.958,0.45,4000
oma_static,4,4,10,0.1,18.958,0.45,4000
masking_var,4,1,10,0.0,21.754,0.274,1000
masking_var,4,1,10,0.01,21.677,0.273,1000
masking_var,4,1,10,0.03,21.552,0.29,1000
masking_var,4,1,10,0.1,21.186,0.297,1000
masking_var,4,4,10,0.0,20.412,0.5092,4000
masking_var,4,4,10,0.01,20.091,0.5163,4000
masking_var,4,4,10,0.03,19.627,0.5328,4000
masking_var,4,4,10,0.1,18.54,0.5735,4000
deepma_offload,4,1,10,0.0,16.677,0.393,1000
deepma_offload,4,1,10,0.01,16.675,0.382,1000
deepma_offload,4,1,10,0.03,16.686,0.38,1000
deepma_offload,4,1,10,0.1,16.58,0.389,1000
deepma_offload,4,4,10,0.0,21.314,0.3832,4000
deepma_offload,4,4,10,0.01,20.821,0.3993,4000
deepma_offload,4,4,10,0.03,20.152,0.4205,4000
deepma_offload,4,4,10,0.1,18.731,0.473,4000
