scheme,designed,active,snr,psnr,ser,n_images
oma_e40,4,4,-5,16.048,0.846,4000
oma_e40,4,4,0,18.178,0.7153,4000
oma_e40,4,4,5,20.165,0.533,4000
oma_e40,4,4,10,21.879,0.3507,4000
oma_e40,4,4,15,23.131,0.2307,4000
oma_e40,4,4,20,23.6,0.177,4000
oma_e40_static,4,1,-5,16.048,0.846,4000
oma_e40_static,4,2,-5,16.048,0.846,4000
oma_e40_static,4,3,-5,16.048,0.846,4000
oma_e40_static,4,4,-5,16.048,0.846,4000
oma_e40_static,4,1,0,18.178,0.7153,4000
oma_e40_static,4,2,0,18.178,0.7153,4000
oma_e40_static,4,3,0,18.178,0.7153,4000
oma_e40_static,4,4,0,18.178,0.7153,4000
oma_e40_static,4,1,5,20.165,0.533,4000
oma_e40_static,4,2,5,20.165,0.533,4000
oma_e40_static,4,3,5,20.165,0.533,4000
oma_e40_static,4,4,5,20.165,0.533,4000
oma_e40_static,4,1,10,21.879,0.3507,4000
oma_e40_static,4,2,10,21.879,0.3507,4000
oma_e40_static,4,3,10,21.879,0.3507,4000
oma_e40_static,4,4,10,21.879,0.3507,4000
oma_e40_static,4,1,15,23.131,0.2307,4000
oma_e40_static,4,2,15,23.131,0.2307,4000
oma_e40_static,4,3,15,23.131,0.2307,4000
oma_e40_static,4,4,15,23.131,0.2307,4000
oma_e40_static,4,1,20,23.6,0.177,4000
oma_e40_static,4,2,20,23.6,0.177,4000
oma_e40_static,4,3,20,23.6,0.177,4000
oma_e40_static,4,4,20,23.6,0.177,4000
