scheme,designed,active,snr,rep,user,image_index,psnr,err
oma_e40,4,4,-5,0,0,0,14.1389,1
oma_e40,4,4,-5,0,0,1,14.3365,0
oma_e40,4,4,-5,0,0,2,17.5050,1
oma_e40,4,4,-5,0,0,3,15.0482,1
oma_e40,4,4,-5,0,0,4,11.6805,0
oma_e40,4,4,-5,0,0,5,12.7660,1
oma_e40,4,4,-5,0,0,6,18.5573,0
oma_e40,4,4,-5,0,0,7,16.4629,1
oma_e40,4,4,-5,0,0,8,17.5690,1
oma_e40,4,4,-5,0,0,9,17.9966,1
oma_e40,4,4,-5,0,0,10,19.2707,1
oma_e40,4,4,-5,0,0,11,14.6164,1
oma_e40,4,4,-5,0,0,12,18.7245,1
oma_e40,4,4,-5,0,0,13,14.7622,1
oma_e40,4,4,-5,0,0,14,16.3747,1
oma_e40,4,4,-5,0,0,15,19.3108,1
oma_e40,4,4,-5,0,0,16,20.5846,0
oma_e40,4,4,-5,0,0,17,15.4424,1
oma_e40,4,4,-5,0,0,18,16.3638,1
oma_e40,4,4,-5,0,0,19,15.9675,1
oma_e40,4,4,-5,0,0,20,15.6424,1
oma_e40,4,4,-5,0,0,21,15.2441,1
oma_e40,4,4,-5,0,0,22,18.9340,1
oma_e40,4,4,-5,0,0,23,12.8482,1
oma_e40,4,4,-5,0,0,24,16.7820,1
oma_e40,4,4,-5,0,1,0,14.1923,1
oma_e40,4,4,-5,0,1,1,13.5464,1
oma_e40,4,4,-5,0,1,2,17.8427,1
oma_e40,4,4,-5,0,1,3,18.2354,0
oma_e40,4,4,-5,0,1,4,15.7709,1
oma_e40,4,4,-5,0,1,5,9.8897,1
oma_e40,4,4,-5,0,1,6,16.4572,0
oma_e40,4,4,-5,0,1,7,18.9088,0
oma_e40,4,4,-5,0,1,8,17.6846,1
oma_e40,4,4,-5,0,1,9,16.1639,1
oma_e40,4,4,-5,0,1,10,16.8213,1
oma_e40,4,4,-5,0,1,11,17.4893,1
oma_e40,4,4,-5,0,1,12,18.6449,1
oma_e40,4,4,-5,0,1,13,16.5482,0
oma_e40,4,4,-5,0,1,14,17.1912,1
oma_e40,4,4,-5,0,1,15,19.2147,0
oma_e40,4,4,-5,0,1,16,18.3274,0
oma_e40,4,4,-5,0,1,17,16.4848,1
oma_e40,4,4,-5,0,1,18,16.1404,1
oma_e40,4,4,-5,0,1,19,16.1610,1
oma_e40,4,4,-5,0,1,20,17.4634,0
oma_e40,4,4,-5,0,1,21,17.8682,0
oma_e40,4,4,-5,0,1,22,16.4665,1
oma_e40,4,4,-5,0,1,23,10.7120,1
oma_e40,4,4,-5,0,1,24,16.0178,1
oma_e40,4,4,-5,0,2,0,14.0147,1
oma_e40,4,4,-5,0,2,1,13.0639,1
oma_e40,4,4,-5,0,2,2,18.3973,1
oma_e40,4,4,-5,0,2,3,15.0963,1
oma_e40,4,4,-5,0,2,4,15.3345,0
oma_e40,4,4,-5,0,2,5,9.9068,1
oma_e40,4,4,-5,0,2,6,16.1634,0
oma_e40,4,4,-5,0,2,7,18.9394,0
oma_e40,4,4,-5,0,2,8,14.5650,1
oma_e40,4,4,-5,0,2,9,18.3907,1
oma_e40,4,4,-5,0,2,10,18.4700,1
oma_e40,4,4,-5,0,2,11,20.7362,1
oma_e40,4,4,-5,0,2,12,18.8006,1
oma_e40,4,4,-5,0,2,13,14.6099,1
oma_e40,4,4,-5,0,2,14,16.3927,1
oma_e40,4,4,-5,0,2,15,21.2794,1
oma_e40,4,4,-5,0,2,16,19.0427,0
oma_e40,4,4,-5,0,2,17,15.1490,1
oma_e40,4,4,-5,0,2,18,15.4991,1
oma_e40,4,4,-5,0,2,19,16.1785,1
oma_e40,4,4,-5,0,2,20,14.3586,1
oma_e40,4,4,-5,0,2,21,17.6505,1
oma_e40,4,4,-5,0,2,22,16.7308,1
oma_e40,4,4,-5,0,2,23,14.1124,1
oma_e40,4,4,-5,0,2,24,18.7362,1
oma_e40,4,4,-5,0,3,0,15.3762,1
oma_e40,4,4,-5,0,3,1,12.6925,1
oma_e40,4,4,-5,0,3,2,17.4087,1
oma_e40,4,4,-5,0,3,3,14.4532,1
oma_e40,4,4,-5,0,3,4,14.5019,1
oma_e40,4,4,-5,0,3,5,11.2563,1
oma_e40,4,4,-5,0,3,6,15.1794,1
oma_e40,4,4,-5,0,3,7,18.8106,1
oma_e40,4,4,-5,0,3,8,18.4068,1
oma_e40,4,4,-5,0,3,9,20.3907,0
oma_e40,4,4,-5,0,3,10,20.0925,1
oma_e40,4,4,-5,0,3,11,17.7174,1
oma_e40,4,4,-5,0,3,12,17.5742,1
oma_e40,4,4,-5,0,3,13,12.6296,1
oma_e40,4,4,-5,0,3,14,14.4957,1
oma_e40,4,4,-5,0,3,15,17.4807,1
oma_e40,4,4,-5,0,3,16,19.7272,1
oma_e40,4,4,-5,0,3,17,15.1757,1
oma_e40,4,4,-5,0,3,18,17.7014,1
oma_e40,4,4,-5,0,3,19,13.7449,0
oma_e40,4,4,-5,0,3,20,18.3352,1
oma_e40,4,4,-5,0,3,21,21.4432,1
oma_e40,4,4,-5,0,3,22,19.6027,1
oma_e40,4,4,-5,0,3,23,13.9582,0
oma_e40,4,4,-5,0,3,24,19.0657,1
oma_e40,4,4,-5,0,0,25,13.4303,1
oma_e40,4,4,-5,0,0,26,15.4805,1
oma_e40,4,4,-5,0,0,27,17.8570,1
oma_e40,4,4,-5,0,0,28,18.1239,0
oma_e40,4,4,-5,0,0,29,15.7148,1
oma_e40,4,4,-5,0,0,30,14.2764,0
oma_e40,4,4,-5,0,0,31,16.3422,1
oma_e40,4,4,-5,0,0,32,14.7324,1
oma_e40,4,4,-5,0,0,33,12.9648,1
oma_e40,4,4,-5,0,0,34,13.2304,1
oma_e40,4,4,-5,0,0,35,17.5092,1
oma_e40,4,4,-5,0,0,36,17.4522,1
oma_e40,4,4,-5,0,0,37,18.6605,1
oma_e40,4,4,-5,0,0,38,18.9791,1
oma_e40,4,4,-5,0,0,39,20.4233,1
oma_e40,4,4,-5,0,0,40,19.3315,1
oma_e40,4,4,-5,0,0,41,17.4608,0
oma_e40,4,4,-5,0,0,42,17.6912,1
oma_e40,4,4,-5,0,0,43,14.1333,1
oma_e40,4,4,-5,0,0,44,12.7830,1
oma_e40,4,4,-5,0,0,45,14.9738,1
oma_e40,4,4,-5,0,0,46,16.5493,1
oma_e40,4,4,-5,0,0,47,14.7834,1
oma_e40,4,4,-5,0,0,48,16.8012,1
oma_e40,4,4,-5,0,0,49,19.6735,0
oma_e40,4,4,-5,0,1,25,14.6365,1
oma_e40,4,4,-5,0,1,26,16.2429,1
oma_e40,4,4,-5,0,1,27,16.1254,1
oma_e40,4,4,-5,0,1,28,16.9678,0
oma_e40,4,4,-5,0,1,29,17.8305,1
oma_e40,4,4,-5,0,1,30,16.6279,1
oma_e40,4,4,-5,0,1,31,16.3895,1
oma_e40,4,4,-5,0,1,32,16.8695,1
oma_e40,4,4,-5,0,1,33,12.7261,1
oma_e40,4,4,-5,0,1,34,13.6510,1
oma_e40,4,4,-5,0,1,35,17.8091,1
oma_e40,4,4,-5,0,1,36,18.6795,0
oma_e40,4,4,-5,0,1,37,16.0393,1
oma_e40,4,4,-5,0,1,38,16.9312,0
oma_e40,4,4,-5,0,1,39,18.2903,1
oma_e40,4,4,-5,0,1,40,19.7767,1
oma_e40,4,4,-5,0,1,41,21.5485,1
oma_e40,4,4,-5,0,1,42,20.8632,1
oma_e40,4,4,-5,0,1,43,15.2403,1
oma_e40,4,4,-5,0,1,44,11.1327,1
oma_e40,4,4,-5,0,1,45,15.1947,1
oma_e40,4,4,-5,0,1,46,16.4012,1
oma_e40,4,4,-5,0,1,47,13.7726,1
oma_e40,4,4,-5,0,1,48,17.1929,1
oma_e40,4,4,-5,0,1,49,17.1754,0
oma_e40,4,4,-5,0,2,25,14.9784,1
oma_e40,4,4,-5,0,2,26,15.2739,1
oma_e40,4,4,-5,0,2,27,18.1397,1
oma_e40,4,4,-5,0,2,28,17.7690,1
oma_e40,4,4,-5,0,2,29,16.0762,1
oma_e40,4,4,-5,0,2,30,11.4646,1
oma_e40,4,4,-5,0,2,31,19.6721,1
oma_e40,4,4,-5,0,2,32,12.5007,1
oma_e40,4,4,-5,0,2,33,10.4103,0
oma_e40,4,4,-5,0,2,34,12.8402,1
oma_e40,4,4,-5,0,2,35,16.9787,1
oma_e40,4,4,-5,0,2,36,16.2360,1
oma_e40,4,4,-5,0,2,37,14.3706,1
oma_e40,4,4,-5,0,2,38,16.8032,1
oma_e40,4,4,-5,0,2,39,17.4823,1
oma_e40,4,4,-5,0,2,40,19.2661,1
oma_e40,4,4,-5,0,2,41,17.0905,1
oma_e40,4,4,-5,0,2,42,14.5539,1
oma_e40,4,4,-5,0,2,43,14.7431,1
oma_e40,4,4,-5,0,2,44,11.6426,1
oma_e40,4,4,-5,0,2,45,18.0508,1
oma_e40,4,4,-5,0,2,46,15.9312,1
oma_e40,4,4,-5,0,2,47,17.8293,1
oma_e40,4,4,-5,0,2,48,19.0615,1
