kind,scheme,reference,K,n,mean,se,se_by_image,diff,se_diff,t,df,p,diff_by_image_se,t_by_image,p_by_image,note
level,psma,,1,1000,23.8661,0.0937,0.1733,,,,,,,,,200 image-user slots
level,masking_var,,1,1000,21.7542,0.0734,0.1449,,,,,,,,,200 image-user slots
level,oma_static,,1,1000,21.4674,0.0873,0.1492,,,,,,,,,200 image-user slots
level,oma_static_k,,1,1000,21.4541,0.0874,0.1515,,,,,,,,,200 image-user slots
level,deepma_offload,,1,1000,16.6770,0.0488,0.1058,,,,,,,,,200 image-user slots
paired,psma,masking_var,1,1000,,,,2.1120,0.0340,62.20,999,0,0.0607,34.81,1.41e-86,"same image, same fading draw, same user slot"
paired,psma,oma_static_k,1,1000,,,,2.4120,0.0214,112.63,999,0,0.0414,58.24,5.74e-127,"same image, same fading draw, same user slot"
unpaired,psma,oma_static,1,1000/1000,,,,2.3987,0.1281,18.73,1988,3.33e-72,,,,"Welch: oma_static row is the K=4 measurement (K=4 seeds), not the load-K draws"
paired,psma,deepma_offload,1,1000,,,,7.1892,0.0917,78.37,999,0,0.1782,40.34,9.74e-98,"same image, same fading draw, same user slot"
level,psma,,2,2000,22.7643,0.0661,0.1162,,,,,,,,,400 image-user slots
level,masking_var,,2,2000,21.3433,0.0568,0.1067,,,,,,,,,400 image-user slots
level,oma_static,,2,2000,21.5057,0.0630,0.1065,,,,,,,,,400 image-user slots
level,oma_static_k,,2,2000,21.4381,0.0621,0.1080,,,,,,,,,400 image-user slots
level,deepma_offload,,2,2000,17.9722,0.0428,0.0887,,,,,,,,,400 image-user slots
paired,psma,masking_var,2,2000,,,,1.4209,0.0201,70.75,1999,0,0.0359,39.55,3.95e-140,"same image, same fading draw, same user slot"
paired,psma,oma_static_k,2,2000,,,,1.3262,0.0107,123.63,1999,0,0.0202,65.64,6.09e-216,"same image, same fading draw, same user slot"
unpaired,psma,oma_static,2,2000/2000,,,,1.2585,0.0913,13.78,3989,3e-42,,,,"Welch: oma_static row is the K=4 measurement (K=4 seeds), not the load-K draws"
paired,psma,deepma_offload,2,2000,,,,4.7921,0.0586,81.83,1999,0,0.1141,41.99,1.67e-148,"same image, same fading draw, same user slot"
level,psma,,3,3000,21.5674,0.0517,0.0936,,,,,,,,,600 image-user slots
level,masking_var,,3,3000,20.9521,0.0478,0.0885,,,,,,,,,600 image-user slots
level,oma_static,,3,3000,21.4972,0.0519,0.0885,,,,,,,,,600 image-user slots
level,oma_static_k,,3,3000,21.5300,0.0512,0.0914,,,,,,,,,600 image-user slots
level,deepma_offload,,3,3000,20.5457,0.0396,0.0720,,,,,,,,,600 image-user slots
paired,psma,masking_var,3,3000,,,,0.6153,0.0128,47.93,2999,0,0.0253,24.29,3.01e-91,"same image, same fading draw, same user slot"
paired,psma,oma_static_k,3,3000,,,,0.0374,0.0140,2.68,2999,0.00744,0.0288,1.30,0.194,"same image, same fading draw, same user slot"
unpaired,psma,oma_static,3,3000/3000,,,,0.0702,0.0733,0.96,5998,0.338,,,,"Welch: oma_static row is the K=4 measurement (K=4 seeds), not the load-K draws"
paired,psma,deepma_offload,3,3000,,,,1.0217,0.0251,40.77,2999,1.57e-289,0.0508,20.11,4.02e-69,"same image, same fading draw, same user slot"
level,psma,,4,4000,20.7456,0.0435,0.0770,,,,,,,,,800 image-user slots
level,masking_var,,4,4000,20.4119,0.0415,0.0725,,,,,,,,,800 image-user slots
level,oma_static,,4,4000,21.5412,0.0454,0.0778,,,,,,,,,800 image-user slots
level,oma_static_k,,4,4000,21.5412,0.0454,0.0778,,,,,,,,,800 image-user slots
