scheme,designed,active,snr,psnr,ser,n_images
psma,4,1,10,23.866,0.174,1000
psma,4,2,10,22.764,0.2715,2000
psma,4,3,10,21.567,0.37,3000
psma,4,4,10,20.746,0.467,4000
psma,8,1,10,23.222,0.194,1000
psma,8,2,10,22.335,0.317,2000
psma,8,3,10,21.248,0.4113,3000
psma,8,4,10,20.577,0.5033,4000
psma,8,5,10,19.957,0.5598,5000
psma,8,6,10,19.509,0.5827,6000
psma,8,7,10,19.137,0.6129,7000
psma,8,8,10,18.794,0.6457,8000
oma,4,4,10,21.541,0.376,4000
oma_static,4,1,10,21.541,0.376,4000
oma_static,4,2,10,21.541,0.376,4000
oma_static,4,3,10,21.541,0.376,4000
oma_static,4,4,10,21.541,0.376,4000
oma_static_k,4,1,10,21.454,0.356,1000
oma_static_k,4,2,10,21.438,0.3975,2000
oma_static_k,4,3,10,21.53,0.3723,3000
oma_static_k,4,4,10,21.541,0.376,4000
masking_var,4,1,10,21.754,0.274,1000
masking_var,4,2,10,21.343,0.3985,2000
masking_var,4,3,10,20.952,0.4303,3000
masking_var,4,4,10,20.412,0.5092,4000
deepma_offload,4,1,10,16.677,0.393,1000
deepma_offload,4,2,10,17.972,0.3885,2000
deepma_offload,4,3,10,20.546,0.355,3000
deepma_offload,4,4,10,21.314,0.3832,4000
