scheme,designed,active,snr,rep,user,image_index,psnr,err
psma,4,1,10,0,0,0,24.3204,0
psma,4,1,10,0,0,1,26.1407,0
psma,4,1,10,0,0,2,22.6845,0
psma,4,1,10,0,0,3,24.1329,0
psma,4,1,10,0,0,4,21.8229,0
psma,4,1,10,0,0,5,25.9828,0
psma,4,1,10,0,0,6,27.6303,0
psma,4,1,10,0,0,7,18.5985,0
psma,4,1,10,0,0,8,24.2015,1
psma,4,1,10,0,0,9,22.7470,0
psma,4,1,10,0,0,10,19.5815,1
psma,4,1,10,0,0,11,17.0966,1
psma,4,1,10,0,0,12,25.6042,0
psma,4,1,10,0,0,13,21.5122,0
psma,4,1,10,0,0,14,23.6728,1
psma,4,1,10,0,0,15,24.6216,0
psma,4,1,10,0,0,16,26.8208,0
psma,4,1,10,0,0,17,24.9177,0
psma,4,1,10,0,0,18,23.7402,0
psma,4,1,10,0,0,19,24.0570,1
psma,4,1,10,0,0,20,23.2963,0
psma,4,1,10,0,0,21,19.1255,1
psma,4,1,10,0,0,22,30.3057,0
psma,4,1,10,0,0,23,25.1620,0
psma,4,1,10,0,0,24,21.3522,0
psma,4,1,10,0,0,25,12.1615,1
psma,4,1,10,0,0,26,14.4266,1
psma,4,1,10,0,0,27,22.3310,1
psma,4,1,10,0,0,28,23.6049,0
psma,4,1,10,0,0,29,22.8146,0
psma,4,1,10,0,0,30,23.6015,0
psma,4,1,10,0,0,31,24.1676,0
psma,4,1,10,0,0,32,22.5907,1
psma,4,1,10,0,0,33,27.2603,0
psma,4,1,10,0,0,34,24.8758,0
psma,4,1,10,0,0,35,23.5376,0
psma,4,1,10,0,0,36,23.1842,0
psma,4,1,10,0,0,37,28.1030,0
psma,4,1,10,0,0,38,22.5805,1
psma,4,1,10,0,0,39,28.7371,0
psma,4,1,10,0,0,40,25.5554,1
psma,4,1,10,0,0,41,23.4372,0
psma,4,1,10,0,0,42,27.0854,0
psma,4,1,10,0,0,43,17.0541,1
psma,4,1,10,0,0,44,28.9846,0
psma,4,1,10,0,0,45,21.4637,0
psma,4,1,10,0,0,46,21.0230,1
psma,4,1,10,0,0,47,24.5761,0
psma,4,1,10,0,0,48,23.0232,0
psma,4,1,10,0,0,49,26.2847,0
psma,4,1,10,0,0,50,26.2728,0
psma,4,1,10,0,0,51,23.2853,0
psma,4,1,10,0,0,52,20.7749,0
psma,4,1,10,0,0,53,26.1133,0
psma,4,1,10,0,0,54,22.7391,0
psma,4,1,10,0,0,55,18.2231,0
psma,4,1,10,0,0,56,22.0779,0
psma,4,1,10,0,0,57,20.9966,0
psma,4,1,10,0,0,58,22.4820,0
psma,4,1,10,0,0,59,26.4725,1
psma,4,1,10,0,0,60,26.5118,0
psma,4,1,10,0,0,61,24.4622,0
