scheme,designed,active,snr,psnr,ser,n_images
psma,4,1,-5,18.166,0.677,1000
psma,4,1,0,20.794,0.462,1000
psma,4,1,5,23.256,0.242,1000
psma,4,1,10,24.747,0.14,1000
psma,4,1,15,25.882,0.089,1000
psma,4,1,20,26.378,0.061,1000
psma,4,2,-5,16.882,0.807,2000
psma,4,2,0,19.272,0.6045,2000
psma,4,2,5,21.535,0.42,2000
psma,4,2,10,23.254,0.2435,2000
psma,4,2,15,24.516,0.1545,2000
psma,4,2,20,25.183,0.1085,2000
psma,4,3,-5,16.101,0.8293,3000
psma,4,3,0,18.327,0.7137,3000
psma,4,3,5,20.595,0.504,3000
psma,4,3,10,22.192,0.3163,3000
psma,4,3,15,23.232,0.2133,3000
psma,4,3,20,23.905,0.1563,3000
psma,4,4,-5,15.636,0.8587,4000
psma,4,4,0,17.726,0.7657,4000
psma,4,4,5,19.706,0.5997,4000
psma,4,4,10,21.412,0.407,4000
psma,4,4,15,22.618,0.2578,4000
psma,4,4,20,23.052,0.2105,4000
