scheme,designed,active,snr,rep,user,image_index,psnr,err
psma,4,1,-5,0,0,0,20.5006,0
psma,4,1,-5,0,0,1,14.6940,1
psma,4,1,-5,0,0,2,20.9716,0
psma,4,1,-5,0,0,3,13.4264,1
psma,4,1,-5,0,0,4,15.3287,1
psma,4,1,-5,0,0,5,18.8923,0
psma,4,1,-5,0,0,6,22.7117,1
psma,4,1,-5,0,0,7,14.9435,1
psma,4,1,-5,0,0,8,19.2329,0
psma,4,1,-5,0,0,9,18.5003,1
psma,4,1,-5,0,0,10,16.8462,1
psma,4,1,-5,0,0,11,13.2469,1
psma,4,1,-5,0,0,12,17.5723,1
psma,4,1,-5,0,0,13,16.1005,1
psma,4,1,-5,0,0,14,20.0391,1
psma,4,1,-5,0,0,15,16.8235,0
psma,4,1,-5,0,0,16,22.7015,0
psma,4,1,-5,0,0,17,21.0180,0
psma,4,1,-5,0,0,18,21.6540,0
psma,4,1,-5,0,0,19,19.5157,1
psma,4,1,-5,0,0,20,20.3596,1
psma,4,1,-5,0,0,21,16.8560,1
psma,4,1,-5,0,0,22,16.3113,1
psma,4,1,-5,0,0,23,18.9269,1
psma,4,1,-5,0,0,24,13.9144,1
psma,4,1,-5,0,0,25,13.2573,1
psma,4,1,-5,0,0,26,21.4543,0
psma,4,1,-5,0,0,27,19.0764,1
psma,4,1,-5,0,0,28,21.1789,0
psma,4,1,-5,0,0,29,15.6342,1
psma,4,1,-5,0,0,30,18.0746,1
psma,4,1,-5,0,0,31,14.4233,1
psma,4,1,-5,0,0,32,19.6579,1
psma,4,1,-5,0,0,33,18.9855,1
psma,4,1,-5,0,0,34,20.2670,0
psma,4,1,-5,0,0,35,14.3192,1
psma,4,1,-5,0,0,36,13.9225,1
psma,4,1,-5,0,0,37,21.5045,0
psma,4,1,-5,0,0,38,17.1252,1
psma,4,1,-5,0,0,39,17.0154,0
psma,4,1,-5,0,0,40,19.7202,0
psma,4,1,-5,0,0,41,21.0657,1
psma,4,1,-5,0,0,42,23.4933,0
psma,4,1,-5,0,0,43,16.6724,0
psma,4,1,-5,0,0,44,19.8547,0
psma,4,1,-5,0,0,45,19.4024,0
psma,4,1,-5,0,0,46,16.4287,1
psma,4,1,-5,0,0,47,13.9814,1
psma,4,1,-5,0,0,48,17.7780,1
psma,4,1,-5,0,0,49,23.5249,0
psma,4,1,-5,0,0,50,13.5889,1
psma,4,1,-5,0,0,51,18.9845,1
psma,4,1,-5,0,0,52,14.9105,1
psma,4,1,-5,0,0,53,20.9492,0
psma,4,1,-5,0,0,54,16.7532,1
psma,4,1,-5,0,0,55,14.8228,1
psma,4,1,-5,0,0,56,14.0632,1
psma,4,1,-5,0,0,57,15.1033,1
psma,4,1,-5,0,0,58,13.3809,1
psma,4,1,-5,0,0,59,24.7231,1
psma,4,1,-5,0,0,60,18.8010,1
psma,4,1,-5,0,0,61,14.9128,1
psma,4,1,-5,0,0,62,17.9367,0
psma,4,1,-5,0,0,63,19.8450,1
psma,4,1,-5,0,0,64,19.8155,0
psma,4,1,-5,0,0,65,15.7308,1
psma,4,1,-5,0,0,66,19.1828,0
psma,4,1,-5,0,0,67,17.3894,0
psma,4,1,-5,0,0,68,17.6704,1
psma,4,1,-5,0,0,69,20.2767,1
psma,4,1,-5,0,0,70,17.9795,1
psma,4,1,-5,0,0,71,16.9017,1
psma,4,1,-5,0,0,72,15.9378,0
psma,4,1,-5,0,0,73,21.6660,1
psma,4,1,-5,0,0,74,20.3044,1
psma,4,1,-5,0,0,75,14.9566,0
psma,4,1,-5,0,0,76,15.6880,1
psma,4,1,-5,0,0,77,16.0619,0
psma,4,1,-5,0,0,78,17.8329,1
psma,4,1,-5,0,0,79,23.4381,1
psma,4,1,-5,0,0,80,16.1217,1
psma,4,1,-5,0,0,81,16.1706,1
psma,4,1,-5,0,0,82,22.1503,0
psma,4,1,-5,0,0,83,15.9338,1
psma,4,1,-5,0,0,84,15.1363,1
psma,4,1,-5,0,0,85,19.5859,1
psma,4,1,-5,0,0,86,12.8338,1
psma,4,1,-5,0,0,87,17.6733,1
psma,4,1,-5,0,0,88,21.0926,0
psma,4,1,-5,0,0,89,19.0335,1
psma,4,1,-5,0,0,90,16.9548,1
psma,4,1,-5,0,0,91,16.0571,1
psma,4,1,-5,0,0,92,13.5331,1
psma,4,1,-5,0,0,93,21.2181,1
psma,4,1,-5,0,0,94,22.1422,1
psma,4,1,-5,0,0,95,17.5227,1
psma,4,1,-5,0,0,96,24.7415,0
psma,4,1,-5,0,0,97,15.5930,1
psma,4,1,-5,0,0,98,21.5096,0
psma,4,1,-5,0,0,99,20.1993,0
psma,4,1,-5,0,0,100,18.6390,1
psma,4,1,-5,0,0,101,17.3122,1
psma,4,1,-5,0,0,102,20.0798,0
psma,4,1,-5,0,0,103,14.5180,1
psma,4,1,-5,0,0,104,21.7866,1
psma,4,1,-5,0,0,105,10.5108,1
psma,4,1,-5,0,0,106,15.1169,1
psma,4,1,-5,0,0,107,18.1996,1
psma,4,1,-5,0,0,108,21.0796,0
psma,4,1,-5,0,0,109,21.7519,1
psma,4,1,-5,0,0,110,17.2920,1
psma,4,1,-5,0,0,111,11.9240,1
psma,4,1,-5,0,0,112,18.3378,1
psma,4,1,-5,0,0,113,20.8884,0
psma,4,1,-5,0,0,114,21.1521,0
psma,4,1,-5,0,0,115,15.8115,0
psma,4,1,-5,0,0,116,17.3006,1
psma,4,1,-5,0,0,117,16.6686,1
psma,4,1,-5,0,0,118,17.3899,1
psma,4,1,-5,0,0,119,21.7783,1
psma,4,1,-5,0,0,120,16.0532,1
psma,4,1,-5,0,0,121,15.5206,1
psma,4,1,-5,0,0,122,15.4637,0
psma,4,1,-5,0,0,123,17.0353,1
psma,4,1,-5,0,0,124,16.1188,1
psma,4,1,-5,0,0,125,15.7225,1
psma,4,1,-5,0,0,126,17.6123,1
psma,4,1,-5,0,0,127,19.4404,1
psma,4,1,-5,0,0,128,17.6987,1
psma,4,1,-5,0,0,129,13.5257,1
psma,4,1,-5,0,0,130,12.7328,1
psma,4,1,-5,0,0,131,18.1535,1
psma,4,1,-5,0,0,132,16.7846,1
psma,4,1,-5,0,0,133,20.6222,1
psma,4,1,-5,0,0,134,15.8345,1
psma,4,1,-5,0,0,135,18.6273,0
psma,4,1,-5,0,0,136,18.5302,1
psma,4,1,-5,0,0,137,19.2347,0
psma,4,1,-5,0,0,138,15.2013,1
psma,4,1,-5,0,0,139,22.5233,1
psma,4,1,-5,0,0,140,17.4351,0
psma,4,1,-5,0,0,141,10.6079,1
psma,4,1,-5,0,0,142,17.2142,0
psma,4,1,-5,0,0,143,18.8170,0
psma,4,1,-5,0,0,144,16.6428,1
psma,4,1,-5,0,0,145,25.4272,1
psma,4,1,-5,0,0,146,20.9449,0
psma,4,1,-5,0,0,147,19.1933,1
psma,4,1,-5,0,0,148,18.2527,0
psma,4,1,-5,0,0,149,21.9407,1
psma,4,1,-5,0,0,150,14.6845,1
psma,4,1,-5,0,0,151,22.1536,0
psma,4,1,-5,0,0,152,17.1620,1
psma,4,1,-5,0,0,153,22.5199,0
psma,4,1,-5,0,0,154,13.1331,1
psma,4,1,-5,0,0,155,17.5830,1
psma,4,1,-5,0,0,156,18.7797,1
psma,4,1,-5,0,0,157,17.7618,1
psma,4,1,-5,0,0,158,20.0944,1
psma,4,1,-5,0,0,159,15.4432,1
psma,4,1,-5,0,0,160,12.5776,1
psma,4,1,-5,0,0,161,20.3230,1
psma,4,1,-5,0,0,162,22.0920,0
psma,4,1,-5,0,0,163,20.6299,1
psma,4,1,-5,0,0,164,19.3972,0
psma,4,1,-5,0,0,165,16.6150,1
psma,4,1,-5,0,0,166,15.0467,1
psma,4,1,-5,0,0,167,19.1355,1
psma,4,1,-5,0,0,168,15.8407,1
psma,4,1,-5,0,0,169,21.4131,1
psma,4,1,-5,0,0,170,19.0333,1
psma,4,1,-5,0,0,171,20.3246,1
psma,4,1,-5,0,0,172,12.2010,1
psma,4,1,-5,0,0,173,15.9480,1
psma,4,1,-5,0,0,174,12.0060,1
psma,4,1,-5,0,0,175,26.6947,0
psma,4,1,-5,0,0,176,27.1562,0
psma,4,1,-5,0,0,177,15.9184,1
psma,4,1,-5,0,0,178,23.5024,0
psma,4,1,-5,0,0,179,15.7668,1
psma,4,1,-5,0,0,180,20.0026,1
psma,4,1,-5,0,0,181,19.2920,1
psma,4,1,-5,0,0,182,19.5569,0
psma,4,1,-5,0,0,183,19.5244,0
psma,4,1,-5,0,0,184,20.3610,0
psma,4,1,-5,0,0,185,14.6853,1
psma,4,1,-5,0,0,186,12.9433,1
psma,4,1,-5,0,0,187,21.5628,1
psma,4,1,-5,0,0,188,16.3404,0
psma,4,1,-5,0,0,189,20.7165,1
psma,4,1,-5,0,0,190,23.2230,1
psma,4,1,-5,0,0,191,16.5286,1
psma,4,1,-5,0,0,192,19.0744,1
psma,4,1,-5,0,0,193,21.6627,1
psma,4,1,-5,0,0,194,16.2072,1
psma,4,1,-5,0,0,195,23.4558,0
psma,4,1,-5,0,0,196,20.1351,1
psma,4,1,-5,0,0,197,20.4204,1
psma,4,1,-5,0,0,198,20.7739,0
psma,4,1,-5,0,0,199,22.7002,0
psma,4,1,-5,1,0,0,18.9066,0
psma,4,1,-5,1,0,1,17.1967,1
psma,4,1,-5,1,0,2,23.0542,0
psma,4,1,-5,1,0,3,18.0441,1
psma,4,1,-5,1,0,4,12.7120,1
psma,4,1,-5,1,0,5,22.1951,0
psma,4,1,-5,1,0,6,20.1716,1
psma,4,1,-5,1,0,7,17.5167,1
psma,4,1,-5,1,0,8,18.5170,0
psma,4,1,-5,1,0,9,18.9475,1
psma,4,1,-5,1,0,10,21.5342,0
psma,4,1,-5,1,0,11,17.5020,0
psma,4,1,-5,1,0,12,18.9022,1
psma,4,1,-5,1,0,13,18.2880,1
psma,4,1,-5,1,0,14,17.3476,0
psma,4,1,-5,1,0,15,19.3709,1
psma,4,1,-5,1,0,16,20.4183,1
psma,4,1,-5,1,0,17,17.3842,1
psma,4,1,-5,1,0,18,13.7296,1
psma,4,1,-5,1,0,19,12.7566,1
psma,4,1,-5,1,0,20,17.7614,1
psma,4,1,-5,1,0,21,12.1442,1
psma,4,1,-5,1,0,22,18.2539,1
psma,4,1,-5,1,0,23,23.6767,0
psma,4,1,-5,1,0,24,18.8667,0
psma,4,1,-5,1,0,25,15.4277,1
psma,4,1,-5,1,0,26,14.1870,1
psma,4,1,-5,1,0,27,14.5213,1
psma,4,1,-5,1,0,28,15.5306,1
psma,4,1,-5,1,0,29,13.8455,1
psma,4,1,-5,1,0,30,14.2672,1
psma,4,1,-5,1,0,31,21.3440,0
psma,4,1,-5,1,0,32,20.1910,1
psma,4,1,-5,1,0,33,17.2526,0
psma,4,1,-5,1,0,34,13.1135,1
psma,4,1,-5,1,0,35,19.0563,1
psma,4,1,-5,1,0,36,18.3380,1
psma,4,1,-5,1,0,37,21.9910,0
psma,4,1,-5,1,0,38,15.6990,1
psma,4,1,-5,1,0,39,26.0978,0
psma,4,1,-5,1,0,40,24.1223,0
psma,4,1,-5,1,0,41,19.6473,1
psma,4,1,-5,1,0,42,19.7395,1
psma,4,1,-5,1,0,43,20.6873,0
psma,4,1,-5,1,0,44,17.7631,0
psma,4,1,-5,1,0,45,17.4679,1
psma,4,1,-5,1,0,46,15.9672,1
psma,4,1,-5,1,0,47,18.4124,1
psma,4,1,-5,1,0,48,17.7993,1
psma,4,1,-5,1,0,49,25.6361,0
psma,4,1,-5,1,0,50,12.1520,1
psma,4,1,-5,1,0,51,23.2728,0
psma,4,1,-5,1,0,52,15.1714,1
psma,4,1,-5,1,0,53,21.7937,0
psma,4,1,-5,1,0,54,9.3801,1
psma,4,1,-5,1,0,55,13.9458,1
psma,4,1,-5,1,0,56,14.6155,1
psma,4,1,-5,1,0,57,18.2420,0
psma,4,1,-5,1,0,58,13.8219,1
psma,4,1,-5,1,0,59,24.0918,1
psma,4,1,-5,1,0,60,14.1994,1
psma,4,1,-5,1,0,61,16.3571,1
psma,4,1,-5,1,0,62,18.8907,0
psma,4,1,-5,1,0,63,17.6993,1
psma,4,1,-5,1,0,64,25.0017,0
psma,4,1,-5,1,0,65,14.4154,1
psma,4,1,-5,1,0,66,15.4469,1
psma,4,1,-5,1,0,67,18.3239,1
psma,4,1,-5,1,0,68,8.6230,1
psma,4,1,-5,1,0,69,18.9160,1
psma,4,1,-5,1,0,70,18.9074,1
psma,4,1,-5,1,0,71,18.3461,1
psma,4,1,-5,1,0,72,19.9959,1
psma,4,1,-5,1,0,73,25.4922,0
psma,4,1,-5,1,0,74,21.3485,0
psma,4,1,-5,1,0,75,12.1525,1
psma,4,1,-5,1,0,76,20.7234,1
psma,4,1,-5,1,0,77,15.8927,0
psma,4,1,-5,1,0,78,19.9042,1
psma,4,1,-5,1,0,79,24.4737,0
psma,4,1,-5,1,0,80,16.2384,1
psma,4,1,-5,1,0,81,14.6120,0
psma,4,1,-5,1,0,82,18.3317,0
psma,4,1,-5,1,0,83,15.8118,1
psma,4,1,-5,1,0,84,16.2229,1
psma,4,1,-5,1,0,85,18.2111,1
psma,4,1,-5,1,0,86,17.8928,1
psma,4,1,-5,1,0,87,16.0634,1
psma,4,1,-5,1,0,88,17.5135,1
