scheme,designed,active,snr,psnr,ser,n_images
oma_s1,4,4,-5,15.919,0.8537,4000
oma_s1,4,4,0,17.998,0.7437,4000
oma_s1,4,4,5,19.907,0.565,4000
oma_s1,4,4,10,21.503,0.3758,4000
oma_s1,4,4,15,22.639,0.251,4000
oma_s1,4,4,20,23.04,0.2015,4000
oma_s1_static,4,1,-5,15.919,0.8537,4000
oma_s1_static,4,2,-5,15.919,0.8537,4000
oma_s1_static,4,3,-5,15.919,0.8537,4000
oma_s1_static,4,4,-5,15.919,0.8537,4000
oma_s1_static,4,1,0,17.998,0.7437,4000
oma_s1_static,4,2,0,17.998,0.7437,4000
oma_s1_static,4,3,0,17.998,0.7437,4000
oma_s1_static,4,4,0,17.998,0.7437,4000
oma_s1_static,4,1,5,19.907,0.565,4000
oma_s1_static,4,2,5,19.907,0.565,4000
oma_s1_static,4,3,5,19.907,0.565,4000
oma_s1_static,4,4,5,19.907,0.565,4000
oma_s1_static,4,1,10,21.503,0.3758,4000
oma_s1_static,4,2,10,21.503,0.3758,4000
oma_s1_static,4,3,10,21.503,0.3758,4000
oma_s1_static,4,4,10,21.503,0.3758,4000
oma_s1_static,4,1,15,22.639,0.251,4000
oma_s1_static,4,2,15,22.639,0.251,4000
oma_s1_static,4,3,15,22.639,0.251,4000
oma_s1_static,4,4,15,22.639,0.251,4000
oma_s1_static,4,1,20,23.04,0.2015,4000
oma_s1_static,4,2,20,23.04,0.2015,4000
oma_s1_static,4,3,20,23.04,0.2015,4000
oma_s1_static,4,4,20,23.04,0.2015,4000
oma_s2,4,4,-5,15.921,0.8525,4000
oma_s2,4,4,0,18.016,0.753,4000
oma_s2,4,4,5,19.918,0.5695,4000
oma_s2,4,4,10,21.521,0.381,4000
oma_s2,4,4,15,22.656,0.2432,4000
oma_s2,4,4,20,23.061,0.1965,4000
oma_s2_static,4,1,-5,15.921,0.8525,4000
oma_s2_static,4,2,-5,15.921,0.8525,4000
oma_s2_static,4,3,-5,15.921,0.8525,4000
oma_s2_static,4,4,-5,15.921,0.8525,4000
oma_s2_static,4,1,0,18.016,0.753,4000
oma_s2_static,4,2,0,18.016,0.753,4000
oma_s2_static,4,3,0,18.016,0.753,4000
oma_s2_static,4,4,0,18.016,0.753,4000
oma_s2_static,4,1,5,19.918,0.5695,4000
oma_s2_static,4,2,5,19.918,0.5695,4000
oma_s2_static,4,3,5,19.918,0.5695,4000
oma_s2_static,4,4,5,19.918,0.5695,4000
oma_s2_static,4,1,10,21.521,0.381,4000
oma_s2_static,4,2,10,21.521,0.381,4000
oma_s2_static,4,3,10,21.521,0.381,4000
oma_s2_static,4,4,10,21.521,0.381,4000
oma_s2_static,4,1,15,22.656,0.2432,4000
oma_s2_static,4,2,15,22.656,0.2432,4000
oma_s2_static,4,3,15,22.656,0.2432,4000
oma_s2_static,4,4,15,22.656,0.2432,4000
oma_s2_static,4,1,20,23.061,0.1965,4000
oma_s2_static,4,2,20,23.061,0.1965,4000
oma_s2_static,4,3,20,23.061,0.1965,4000
oma_s2_static,4,4,20,23.061,0.1965,4000
