scheme,designed,active,snr,psnr,ser,n_images
psma_s1,4,1,-5,17.978,0.706,1000
psma_s1,4,1,0,20.447,0.477,1000
psma_s1,4,1,5,22.623,0.27,1000
psma_s1,4,1,10,23.826,0.155,1000
psma_s1,4,1,15,24.727,0.094,1000
psma_s1,4,1,20,25.074,0.063,1000
psma_s1,4,2,-5,16.635,0.82,2000
psma_s1,4,2,0,18.975,0.64,2000
psma_s1,4,2,5,21.161,0.431,2000
psma_s1,4,2,10,22.774,0.2715,2000
psma_s1,4,2,15,23.936,0.1625,2000
psma_s1,4,2,20,24.524,0.1175,2000
psma_s1,4,3,-5,15.953,0.837,3000
psma_s1,4,3,0,18.041,0.726,3000
psma_s1,4,3,5,20.139,0.525,3000
psma_s1,4,3,10,21.516,0.366,3000
psma_s1,4,3,15,22.395,0.2617,3000
psma_s1,4,3,20,22.957,0.1997,3000
psma_s1,4,4,-5,15.501,0.8562,4000
psma_s1,4,4,0,17.466,0.762,4000
psma_s1,4,4,5,19.276,0.6177,4000
psma_s1,4,4,10,20.737,0.4353,4000
psma_s1,4,4,15,21.754,0.3215,4000
psma_s1,4,4,20,22.083,0.2783,4000
psma_s2,4,1,-5,17.986,0.707,1000
psma_s2,4,1,0,20.436,0.483,1000
psma_s2,4,1,5,22.596,0.263,1000
psma_s2,4,1,10,23.776,0.162,1000
psma_s2,4,1,15,24.658,0.101,1000
psma_s2,4,1,20,24.997,0.071,1000
psma_s2,4,2,-5,16.644,0.815,2000
psma_s2,4,2,0,18.97,0.645,2000
psma_s2,4,2,5,21.137,0.4465,2000
psma_s2,4,2,10,22.721,0.2735,2000
psma_s2,4,2,15,23.846,0.175,2000
psma_s2,4,2,20,24.414,0.137,2000
psma_s2,4,3,-5,15.943,0.835,3000
psma_s2,4,3,0,18.04,0.725,3000
psma_s2,4,3,5,20.172,0.522,3000
psma_s2,4,3,10,21.571,0.358,3000
psma_s2,4,3,15,22.465,0.2577,3000
psma_s2,4,3,20,23.028,0.1997,3000
psma_s2,4,4,-5,15.506,0.8705,4000
psma_s2,4,4,0,17.468,0.773,4000
psma_s2,4,4,5,19.272,0.63,4000
psma_s2,4,4,10,20.724,0.4467,4000
psma_s2,4,4,15,21.736,0.3277,4000
psma_s2,4,4,20,22.06,0.281,4000
