image_index,path,psnr
0,imagenette160/val/tench/00717.png,24.0549
1,imagenette160/val/golf_ball/03110.png,25.9697
2,imagenette160/val/gas_pump/01997.png,24.8268
3,imagenette160/val/French_horn/03591.png,24.3233
4,imagenette160/val/golf_ball/02787.png,22.5247
5,imagenette160/val/parachute/01908.png,24.9820
6,imagenette160/val/golf_ball/03009.png,26.7822
7,imagenette160/val/French_horn/03705.png,21.0205
8,imagenette160/val/church/01504.png,23.8287
9,imagenette160/val/tench/00495.png,24.4050
10,imagenette160/val/French_horn/03652.png,24.5377
11,imagenette160/val/parachute/01809.png,20.6084
12,imagenette160/val/chain_saw/00775.png,23.9663
13,imagenette160/val/French_horn/03573.png,22.0909
14,imagenette160/val/church/01429.png,23.2355
15,imagenette160/val/parachute/01800.png,24.0243
16,imagenette160/val/golf_ball/02938.png,26.1261
17,imagenette160/val/garbage_truck/03260.png,24.3701
18,imagenette160/val/parachute/01768.png,23.4701
19,imagenette160/val/French_horn/03853.png,23.8323
20,imagenette160/val/gas_pump/02239.png,23.6653
21,imagenette160/val/gas_pump/02234.png,19.4460
22,imagenette160/val/golf_ball/02826.png,28.7714
23,imagenette160/val/chain_saw/01013.png,25.8074
24,imagenette160/val/church/01358.png,22.1805
25,imagenette160/val/gas_pump/02273.png,19.9410
26,imagenette160/val/parachute/01663.png,25.2409
27,imagenette160/val/French_horn/03598.png,24.8175
28,imagenette160/val/gas_pump/02233.png,24.1480
29,imagenette160/val/garbage_truck/03483.png,23.1340
30,imagenette160/val/English_springer/02416.png,23.5456
31,imagenette160/val/church/01257.png,24.2821
32,imagenette160/val/gas_pump/02095.png,22.8421
33,imagenette160/val/tench/00640.png,26.8095
34,imagenette160/val/golf_ball/02974.png,25.2556
35,imagenette160/val/cassette_player/00080.png,23.4400
36,imagenette160/val/garbage_truck/03436.png,23.9222
37,imagenette160/val/parachute/01725.png,27.6674
38,imagenette160/val/French_horn/03747.png,24.7785
39,imagenette160/val/parachute/01803.png,27.5297
40,imagenette160/val/church/01149.png,27.3953
41,imagenette160/val/garbage_truck/03184.png,23.8241
42,imagenette160/val/tench/00529.png,26.5312
43,imagenette160/val/church/01520.png,22.9439
44,imagenette160/val/golf_ball/02813.png,28.8276
45,imagenette160/val/chain_saw/00812.png,21.5662
46,imagenette160/val/French_horn/03875.png,22.0981
47,imagenette160/val/cassette_player/00222.png,24.1749
48,imagenette160/val/gas_pump/01938.png,23.5213
49,imagenette160/val/parachute/01794.png,27.7528
50,imagenette160/val/cassette_player/00017.png,26.4165
51,imagenette160/val/English_springer/02654.png,25.7898
52,imagenette160/val/French_horn/03868.png,22.1041
53,imagenette160/val/tench/00686.png,25.5549
54,imagenette160/val/cassette_player/00308.png,23.2616
55,imagenette160/val/chain_saw/01084.png,18.4388
56,imagenette160/val/garbage_truck/03328.png,22.0276
57,imagenette160/val/cassette_player/00149.png,22.3649
58,imagenette160/val/tench/00634.png,25.7447
59,imagenette160/val/cassette_player/00328.png,26.9235
60,imagenette160/val/tench/00399.png,26.2371
61,imagenette160/val/English_springer/02646.png,25.9775
62,imagenette160/val/English_springer/02433.png,24.0063
63,imagenette160/val/gas_pump/02216.png,24.2494
64,imagenette160/val/golf_ball/02904.png,26.7982
65,imagenette160/val/chain_saw/01037.png,21.1008
66,imagenette160/val/church/01393.png,24.0411
67,imagenette160/val/parachute/01858.png,28.9159
68,imagenette160/val/garbage_truck/03160.png,24.9769
69,imagenette160/val/chain_saw/00821.png,23.9541
70,imagenette160/val/cassette_player/00086.png,28.6095
71,imagenette160/val/gas_pump/01937.png,24.7285
72,imagenette160/val/English_springer/02409.png,25.3464
73,imagenette160/val/chain_saw/00770.png,27.8353
74,imagenette160/val/cassette_player/00265.png,22.2357
75,imagenette160/val/church/01413.png,21.1470
76,imagenette160/val/cassette_player/00129.png,28.0405
77,imagenette160/val/tench/00398.png,22.4057
78,imagenette160/val/chain_saw/00761.png,25.1911
79,imagenette160/val/cassette_player/00033.png,27.9212
80,imagenette160/val/French_horn/03532.png,23.4298
81,imagenette160/val/English_springer/02624.png,22.3671
82,imagenette160/val/church/01226.png,23.6648
83,imagenette160/val/French_horn/03534.png,20.2514
84,imagenette160/val/tench/00725.png,23.0591
85,imagenette160/val/garbage_truck/03348.png,23.5416
86,imagenette160/val/tench/00662.png,22.4930
87,imagenette160/val/cassette_player/00199.png,22.4808
88,imagenette160/val/chain_saw/00989.png,25.0442
89,imagenette160/val/garbage_truck/03477.png,23.9745
90,imagenette160/val/golf_ball/02841.png,23.7891
91,imagenette160/val/garbage_truck/03178.png,23.6376
